Sale ID, Year, Make, Model, Style, Is Active?, On Sale?, Has Sold?, Offer to Seller, Private Price PI, Trade In Price PI, Retail Price PI, CPO Price PI, Private Price L, Trade In Price L, Retail Price L, CPO Price L, Beepi Price
1002,2012,Volkswagen,Touareg,TDI Sport 4dr SUV AWD w/Navigation  Prod. End 10/11 (3.0L 6cyl Turbodiesel 8A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1003,2011,Toyota,Corolla,S 4dr Sedan (1.8L 4cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004,2012,Volkswagen,GTI,PZEV 4dr Hatchback w/Sunroof  Navigation (2.0L 4cyl Turbo 6AM),N, N, Y, 18495,18994,17495,20219,21975,18994,17495,20219,21975,20100
1005,2011,BMW,3 Series,335d 4dr Sedan (3.0L 6cyl Turbodiesel 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1006,2010,MINI,Cooper,2dr Hatchback (1.6L 4cyl 6M),N, N, Y, 12487,12290,10832,13723,N/A,12290,10832,13723,N/A,13585
1007,2010,Honda,Civic,LX 4dr Sedan (1.8L 4cyl 5A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,2009,Infiniti,G37,Journey 4dr Sedan (3.7L 6cyl 7A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009,2009,BMW,X6,xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010,2012,Mercedes-Benz,GLK-Class,GLK350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),N, N, Y, 29074,29802,27751,31950,35261,29802,27751,31950,35261,32900
1011,2009,BMW,X6,xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1012,2011,BMW,5 Series,550i 4dr Sedan (4.4L 8cyl Turbo 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1013,2011,Nissan,Versa,1.6 4dr Sedan (1.6L 4cyl 4A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
